time	V(n001)	V(n002)
7.541796875000001e-004	0.000000e+000	6.203842e-001
7.561328125000001e-004	0.000000e+000	6.233608e-001
7.580859375000001e-004	0.000000e+000	6.239271e-001
7.600390625000001e-004	0.000000e+000	6.221275e-001
7.619921875000001e-004	0.000000e+000	6.180148e-001
7.639453125000001e-004	0.000000e+000	6.116489e-001
7.658984375000001e-004	0.000000e+000	6.030976e-001
7.678515625000001e-004	0.000000e+000	5.924352e-001
7.698046875000001e-004	0.000000e+000	5.797429e-001
7.717578125000001e-004	0.000000e+000	5.651078e-001
7.737109375000001e-004	0.000000e+000	5.486227e-001
7.756640625000001e-004	0.000000e+000	5.303854e-001
7.776171875000000e-004	0.000000e+000	5.104989e-001
7.795703125000000e-004	0.000000e+000	4.890698e-001
7.815234375000000e-004	0.000000e+000	4.662089e-001
7.834765625000000e-004	0.000000e+000	4.420303e-001
7.854296875000000e-004	0.000000e+000	4.166506e-001
7.873828125000000e-004	0.000000e+000	3.901887e-001
7.893359375000000e-004	0.000000e+000	3.627656e-001
7.932421875000000e-004	0.000000e+000	3.055244e-001
7.971484375000000e-004	0.000000e+000	2.459537e-001
8.000000000000000e-004	0.000000e+000	2.014889e-001
8.014285714285714e-004	1.428571e-001	3.202835e-001
8.028571428571429e-004	2.857143e-001	4.373635e-001
8.042857142857143e-004	4.285714e-001	5.527287e-001
8.057142857142858e-004	5.714286e-001	6.663792e-001
8.071428571428572e-004	7.142857e-001	7.783149e-001
8.085714285714287e-004	8.571429e-001	8.885359e-001
8.100000000000001e-004	1.000000e+000	9.970421e-001
8.129296875000001e-004	1.000000e+000	9.249008e-001
8.158593750000001e-004	1.000000e+000	8.565374e-001
8.187890625000001e-004	1.000000e+000	7.919520e-001
8.217187500000000e-004	1.000000e+000	7.311445e-001
8.246484375000000e-004	1.000000e+000	6.741150e-001
8.275781250000000e-004	1.000000e+000	6.208634e-001
8.305078125000000e-004	1.000000e+000	5.713898e-001
8.324609375000000e-004	1.000000e+000	5.418656e-001
8.344140625000000e-004	1.000000e+000	5.146410e-001
8.363671875000000e-004	1.000000e+000	4.897744e-001
8.383203125000000e-004	1.000000e+000	4.673141e-001
8.402734375000000e-004	1.000000e+000	4.472982e-001
8.422265625000000e-004	1.000000e+000	4.297552e-001
8.441796875000000e-004	1.000000e+000	4.147034e-001
8.461328125000000e-004	1.000000e+000	4.021515e-001
8.480859375000000e-004	1.000000e+000	3.920986e-001
8.500390625000000e-004	1.000000e+000	3.845343e-001
8.519921875000000e-004	1.000000e+000	3.794391e-001
8.539453125000000e-004	1.000000e+000	3.767846e-001
8.558984375000000e-004	1.000000e+000	3.765335e-001
8.578515625000000e-004	1.000000e+000	3.786403e-001
8.598046875000000e-004	1.000000e+000	3.830516e-001
8.617578125000000e-004	1.000000e+000	3.897062e-001
8.637109375000000e-004	1.000000e+000	3.985355e-001
8.656640625000000e-004	1.000000e+000	4.094644e-001
8.676171875000000e-004	1.000000e+000	4.224108e-001
8.695703125000000e-004	1.000000e+000	4.372870e-001
8.715234375000000e-004	1.000000e+000	4.539996e-001
8.734765625000000e-004	1.000000e+000	4.724500e-001
8.754296875000000e-004	1.000000e+000	4.925349e-001
8.773828125000000e-004	1.000000e+000	5.141470e-001
8.812890625000000e-004	1.000000e+000	5.615051e-001
8.851953125000000e-004	1.000000e+000	6.136004e-001
8.891015625000000e-004	1.000000e+000	6.694733e-001
8.930078125000000e-004	1.000000e+000	7.281448e-001
8.969140625000000e-004	1.000000e+000	7.886312e-001
9.008203125000000e-004	1.000000e+000	8.499597e-001
9.047265625000000e-004	1.000000e+000	9.111819e-001
9.080468750000001e-004	1.000000e+000	9.624894e-001
9.100000000000001e-004	1.000000e+000	9.921973e-001
9.114285714285715e-004	8.571429e-001	8.721880e-001
9.128571428571430e-004	7.142857e-001	7.535665e-001
9.142857142857144e-004	5.714286e-001	6.363328e-001
9.157142857142859e-004	4.285714e-001	5.204869e-001
9.171428571428573e-004	2.857143e-001	4.060288e-001
9.185714285714288e-004	1.428571e-001	2.929586e-001
9.200000000000001e-004	0.000000e+000	1.812761e-001
9.223716517857144e-004	0.000000e+000	2.333265e-001
9.247433035714286e-004	0.000000e+000	2.824341e-001
9.271149553571429e-004	0.000000e+000	3.285990e-001
9.294866071428572e-004	0.000000e+000	3.718212e-001
9.318582589285715e-004	0.000000e+000	4.121006e-001
9.342299107142857e-004	0.000000e+000	4.494372e-001
9.366015625000000e-004	0.000000e+000	4.838310e-001
9.405078125000001e-004	0.000000e+000	5.320773e-001
9.444140625000001e-004	0.000000e+000	5.705293e-001
9.483203125000001e-004	0.000000e+000	5.989877e-001
9.522265625000001e-004	0.000000e+000	6.174099e-001
9.541796875000001e-004	0.000000e+000	6.228857e-001
9.561328125000001e-004	0.000000e+000	6.259048e-001
9.580859375000001e-004	0.000000e+000	6.265032e-001
9.600390625000001e-004	0.000000e+000	6.247255e-001
9.619921875000001e-004	0.000000e+000	6.206243e-001
9.639453125000001e-004	0.000000e+000	6.142600e-001
9.658984375000001e-004	0.000000e+000	6.057002e-001
9.678515625000001e-004	0.000000e+000	5.950198e-001
9.698046875000001e-004	0.000000e+000	5.823001e-001
9.717578125000001e-004	0.000000e+000	5.676284e-001
9.737109375000001e-004	0.000000e+000	5.510979e-001
9.756640625000001e-004	0.000000e+000	5.328068e-001
9.776171875000000e-004	0.000000e+000	5.128582e-001
9.795703125000000e-004	0.000000e+000	4.913595e-001
9.815234375000000e-004	0.000000e+000	4.684217e-001
9.834765625000000e-004	0.000000e+000	4.441593e-001
9.854296875000000e-004	0.000000e+000	4.186893e-001
9.873828125000000e-004	0.000000e+000	3.921313e-001
9.893359375000000e-004	0.000000e+000	3.646064e-001
9.932421875000000e-004	0.000000e+000	3.071476e-001
9.971484375000000e-004	0.000000e+000	2.473436e-001
1.000000000000000e-003	0.000000e+000	2.027005e-001
1.001428571428572e-003	1.428571e-001	3.214033e-001
1.002857142857143e-003	2.857143e-001	4.383910e-001
1.004285714285714e-003	4.285714e-001	5.536634e-001
1.005714285714286e-003	5.714286e-001	6.672207e-001
1.007142857142857e-003	7.142857e-001	7.790628e-001
1.008571428571429e-003	8.571429e-001	8.891897e-001
1.010000000000000e-003	1.000000e+000	9.976014e-001
1.012929687500000e-003	1.000000e+000	9.252646e-001
1.015859375000000e-003	1.000000e+000	8.567117e-001
1.018789062500000e-003	1.000000e+000	7.919428e-001
1.021718750000000e-003	1.000000e+000	7.309578e-001
1.024648437500000e-003	1.000000e+000	6.737568e-001
1.027578125000000e-003	1.000000e+000	6.203397e-001
1.030507812500000e-003	1.000000e+000	5.707066e-001
1.032460937500000e-003	1.000000e+000	5.410840e-001
1.034414062500000e-003	1.000000e+000	5.137659e-001
1.036367187500000e-003	1.000000e+000	4.888107e-001
1.038320312500000e-003	1.000000e+000	4.662673e-001
1.040273437500000e-003	1.000000e+000	4.461738e-001
1.042226562500000e-003	1.000000e+000	4.285589e-001
1.044179687500000e-003	1.000000e+000	4.134412e-001
1.046132812500000e-003	1.000000e+000	4.008294e-001
1.048085937500000e-003	1.000000e+000	3.907228e-001
1.050039062500000e-003	1.000000e+000	3.831110e-001
1.051992187500000e-003	1.000000e+000	3.779746e-001
1.053945312500000e-003	1.000000e+000	3.752851e-001
1.055898437500000e-003	1.000000e+000	3.750055e-001
1.057851562500000e-003	1.000000e+000	3.770900e-001
1.059804687500000e-003	1.000000e+000	3.814854e-001
1.061757812500000e-003	1.000000e+000	3.881302e-001
1.063710937500000e-003	1.000000e+000	3.969559e-001
1.065664062500000e-003	1.000000e+000	4.078872e-001
1.067617187500000e-003	1.000000e+000	4.208419e-001
1.069570312500000e-003	1.000000e+000	4.357322e-001
1.071523437500000e-003	1.000000e+000	4.524645e-001
1.073476562500000e-003	1.000000e+000	4.709400e-001
1.075429687500000e-003	1.000000e+000	4.910552e-001
1.077382812500000e-003	1.000000e+000	5.127026e-001
1.081289062500000e-003	1.000000e+000	5.601454e-001
1.085195312500000e-003	1.000000e+000	6.123424e-001
1.089101562500000e-003	1.000000e+000	6.683320e-001
1.093007812500000e-003	1.000000e+000	7.271327e-001
1.096914062500000e-003	1.000000e+000	7.877585e-001
1.100820312500000e-003	1.000000e+000	8.492340e-001
1.104726562500000e-003	1.000000e+000	9.106086e-001
1.108046875000000e-003	1.000000e+000	9.620478e-001
1.110000000000000e-003	1.000000e+000	9.918335e-001
1.111428571428572e-003	8.571429e-001	8.718814e-001
1.112857142857143e-003	7.142857e-001	7.533166e-001
1.114285714285714e-003	5.714286e-001	6.361391e-001
1.115714285714286e-003	4.285714e-001	5.203490e-001
1.117142857142857e-003	2.857143e-001	4.059463e-001
1.118571428571429e-003	1.428571e-001	2.929309e-001
1.120000000000000e-003	0.000000e+000	1.813029e-001
1.122371651785714e-003	0.000000e+000	2.334420e-001
